,tag_name,topic_name
0,marketing_analytics,Cloud - Mixed_21
1,couchdb,Databases
2,electronics,Coding - Wearables - IoT - Hardware
3,force.com,IT_operations
4,writing,Video Games - AR/VR
5,gadget_lovers,Mixed_15
6,content_strategy,Digital Marketing
7,human-centered_design,Design (UI/UX)
8,reactjs,Front-end development
9,digital_photography,Digital Marketing
10,stream_processing,Databases
11,third_sector,Mixed_1
12,backend,Front-end development
13,infrastructure_as_code,IT_operations
14,cybersecurity,Cyber Security
15,online_retailers,e-Commerce
16,small_business,Entrepreneurship
17,peer2peer,e-Commerce
18,spring_framework,Programming
19,wordpress_training,Wordpress
20,javascript_best_practices,Front-end development
21,human_rights,Mixed_1
22,supercomputing,Databases
23,digital_currency,Blockchain
24,podcasting,Digital Marketing
25,open_source_tools,Cloud - Mixed_21
26,video,Digital Marketing
27,mapreduce,Databases
28,front-end_engineering,Front-end development
29,new_technology,"Website Development (ruby, java)"
30,best_practices_for_high_performance_ecommerce,e-Commerce
31,episerver,"Website Development (PHP, Drupal)"
32,futurology,3D - Design
33,low-latency,Mixed_26
34,social_media,Digital Marketing
35,creative_problem_solving,3D - Design
36,undergraduates,"Website Development (ruby, java)"
37,recent_graduates,Mixed_22
38,game_production,Video Games - AR/VR
39,online_advertising,Digital Marketing
40,computer_graphics,Coding - Wearables - IoT - Hardware
41,healthcare_it,Healthcare - AI
42,wordpress_workshops,Wordpress
43,kanban,Project Management
44,high_scalability_computing,Databases
45,hackshackers,Coding - Wearables - IoT - Hardware
46,fashion_and_style,Mixed_22
47,webdriver,Mixed_26
48,jboss_enterprise_middleware,Cloud - Mixed_21
49,cms_(content_management_systems),"Website Development (PHP, Drupal)"
50,.net_development,"Website Development (ruby, java)"
51,documentary,Mixed_1
52,nanotech,Mixed_15
53,azure,Cloud - Mixed_21
54,wordpress_user_community,Wordpress
55,reprap,3D - Design
56,ios_development,Mobile development
57,smart_property,Blockchain
58,content_marketing,Digital Marketing
59,react_native,Front-end development
60,entrepreneur_matchmaking,Mixed_22
61,outsourcing,Mixed_22
62,blogging_to_promote_yourself,Digital Marketing
63,pharmaceutical_industry,Healthcare - AI
64,scrum_master,Project Management
65,enterprise_search,Databases
66,creative_coding,3D - Design
67,parents,Mixed_1
68,wordpress_help,Wordpress
69,marklogic,Databases
70,linux,IT_operations
71,elixir_programming,Programming
72,microsoft_biztalk,Cloud - Mixed_21
73,elixir,Programming
74,how_to_market_your_business_through_blogging,Digital Marketing
75,cloud_storage,IT_operations
76,self-improvement,Entrepreneurship
77,geek_culture,Coding - Wearables - IoT - Hardware
78,fsharp,Programming
79,web_content_management,"Website Development (PHP, Drupal)"
80,social_coding,Coding - Wearables - IoT - Hardware
81,open_source_community,Front-end development
82,seniors_social,Mixed_9
83,jquery,Front-end development
84,graduate_developers,Mixed_26
85,hardware_hacking_and_reverse_engineering,Coding - Wearables - IoT - Hardware
86,kubernetes,IT_operations
87,legal_and_business,Mixed_22
88,cg_artists,3D - Design
89,information_retrieval,Databases
90,ui/ux,Design (UI/UX)
91,testing_tools,Mixed_26
92,cultural_heritage,"Website Development (PHP, Drupal)"
93,gamification,Data Science
94,quantitative_finance,Data Science
95,social_networking,Digital Marketing
96,outsourcing_your_it,Project Management
97,emacs_lisp,Programming
98,video_game_development,Video Games - AR/VR
99,virtual_reality,Video Games - AR/VR
100,seo_for_local_business,Digital Marketing
101,urban_design,3D - Design
102,microservices,IT_operations
103,outdoors,Mixed_9
104,blogging,Digital Marketing
105,windows_phone,Mobile development
106,sitecore_cms,"Website Development (PHP, Drupal)"
107,what_is_bitcoin,Blockchain
108,solution_architecture,Cloud - Mixed_21
109,biohacking,Coding - Wearables - IoT - Hardware
110,cio_/_cto,Mixed_22
111,computer_science,Coding - Wearables - IoT - Hardware
112,private_label_product,e-Commerce
113,xcode_users,Mobile development
114,computer_geeks,Mixed_9
115,",_""women",Mixed_9
116,website_optimization,"Website Development (PHP, Drupal)"
117,mobile_advertising,Mobile development
118,computer_security,Cyber Security
119,charity_events,Mixed_1
120,wordpress_for_business,Wordpress
121,radio,Mixed_1
122,f-sharp,Programming
123,organic_search_engine_optimization,Digital Marketing
124,multi-rotor_aircraft,Healthcare - AI
125,mobile_development,Mobile development
126,drupal_theming,"Website Development (PHP, Drupal)"
127,belfast,Mixed_9
128,symfony,"Website Development (PHP, Drupal)"
129,real_time_analytics,Databases
130,vr_glasses,Video Games - AR/VR
131,voip_and_technology,Mixed_9
132,paas:_platform_as_a_service,IT_operations
133,venture_capital,Entrepreneurship
134,nodejs,Front-end development
135,musicians,Mixed_15
136,right_to_individual_privacy,Cyber Security
137,music_production,3D - Design
138,cybersecurity_innovation,Mixed_9
139,creativity,3D - Design
140,cloud_networking,Databases
141,web_accessibility,Design (UI/UX)
142,start-up,Mixed_22
143,geospatial_technologies,Data Science
144,kdb+,Data Science
145,hackspaces,Mixed_15
146,amazon_mastermind_selling,e-Commerce
147,ibm,IT_operations
148,openstack_-_quantum,IT_operations
149,heroku,IT_operations
150,application_development,Mixed_9
151,qlikview,Data Science
152,tessel,Front-end development
153,postgres,Databases
154,product_management,Design (UI/UX)
155,film_industry,Mixed_1
156,m2m,Coding - Wearables - IoT - Hardware
157,software_defined_networking,IT_operations
158,ebay,e-Commerce
159,seo_for_small_businesses,Digital Marketing
160,data_warehouse,Data Science
161,simulations,Healthcare - AI
162,magento_enterprise,e-Commerce
163,mapping,Mixed_9
164,magento,e-Commerce
165,rdf,Data Science
166,makers,Coding - Wearables - IoT - Hardware
167,civic_engagement_&_technology,Data Science
168,ceos_&_founders,Mixed_22
169,oauth,Mixed_9
170,developing_mobile_apps,Mobile development
171,artists,3D - Design
172,"s,_directors,_producers,_writers"",_",Mixed_1
173,software_modeling,Mixed_26
174,coworking,Digital Marketing
175,community_service,Mixed_1
176,wordpress_seo,Wordpress
177,disruptive_innovation,Mixed_15
178,go_programming_language,Programming
179,computer_gaming,Mixed_15
180,internet_&_social_media,Digital Marketing
181,customer_experience,Design (UI/UX)
182,technology,"Website Development (ruby, java)"
183,independent_game_development,Video Games - AR/VR
184,sports_fan,Mixed_22
185,it,Mixed_9
186,android_game_development,Mobile development
187,medical_device_technology,Healthcare - AI
188,bluetooth_technology,Coding - Wearables - IoT - Hardware
189,social_innovation,Design (UI/UX)
190,solomo,Mixed_15
191,life_sciences,Data Science
192,trading,Data Science
193,marklogic_server,Databases
194,risk,Mixed_9
195,ecommerce_technology,e-Commerce
196,moocs,Mixed_9
197,pmp,Project Management
198,work_at_home_ebay_sellers,e-Commerce
199,online_learning,Mixed_9
200,personal_development,"Website Development (ruby, java)"
201,prince2,Project Management
202,job_search,"Website Development (ruby, java)"
203,openstack,IT_operations
204,it_infrastructure,IT_operations
205,digital_journalism,Digital Marketing
206,dev_ops,IT_operations
207,wordpress_small_business_web_sites,Wordpress
208,php,"Website Development (PHP, Drupal)"
209,social_impact,Mixed_15
210,music_technology,Mixed_9
211,ui_design,Design (UI/UX)
212,wordpress_small_business_websites,Wordpress
213,media,Digital Marketing
214,unity_game_engine,Video Games - AR/VR
215,social_media_content,Digital Marketing
216,deep_learning,Healthcare - AI
217,google_chrome,Mobile development
218,decentralized_systems,Blockchain
219,startup_incubation,Entrepreneurship
220,geographic_information_systems:_gis,Mobile development
221,diy_technology,Coding - Wearables - IoT - Hardware
222,software_security,Cyber Security
223,saas_(software_as_a_service),IT_operations
224,railo,Mixed_26
225,lifestyle_blogging,Digital Marketing
226,google_search_appliance,Cloud - Mixed_21
227,microsoft,IT_operations
228,videoblogging,Digital Marketing
229,technology_innovation,Entrepreneurship
230,autocad,3D - Design
231,beacons,Mixed_15
232,smart_sensors,Coding - Wearables - IoT - Hardware
233,games,Video Games - AR/VR
234,healthcare_professionals,Healthcare - AI
235,css/next,Front-end development
236,rails,"Website Development (ruby, java)"
237,ontology,Data Science
238,alfresco,Design (UI/UX)
239,lean_startup,Entrepreneurship
